Gender,Year_02,Kinder_Age,Disability,NCCD-Funded,01.SES,02.SES,NumSibling,SiblingOrder,NumAbvYear9,NumAbvDiploma,NumProf,Burt-01-SOY,Burt-01-EOY,Clay-01-SOY,Clay-01-EOY,TextLevel-01-SOY,TextLevel-01-MOY,TextLevel-01-EOY,TextLevel-02-SOY,TextLevel-02-MOY,TextLevel-02-EOY,WritingVocab-01-SOY,HRSIW-01-SOY,Counting-01,Counting-02,Place Value-01,Place Value-02,Addition and Subtraction-01,Addition and Subtraction-02,Multiplication and Division-01,Multiplication and Division-02,Year3_Writing_At_Risk,Predicted_Average_Rating
0,2018,5.9,Disability_Non-disable,0,120,120,2,1,2,2,2,21,35,0,0,9,15,19,24,26,28,39,39,2,2,2,2,2,2,1,2,False,0.0
0,2016,5.1,Disability_Non-disable,0,97,97,1,1,0,0,0,0,23,6,14,1,4,14,13,13,15,11,21,1,1,0,1,1,1,0,1,True,1.0
0,2017,4.9,Disability_Non-disable,0,113,113,2,1,2,2,2,22,37,1,-3,17,19,24,22,26,29,33,30,3,4,2,2,2,4,2,2,False,0.0
1,2020,4.9,Disability_Non-disable,0,101,101,3,2,2,2,0,20,26,0,1,13,14,21,23,23,30,26,38,3,3,1,2,1,2,1,1,False,0.0
0,2018,4.8,Disability_Non-disable,0,95,95,2,1,2,2,0,5,27,3,14,3,13,22,19,25,27,3,0,1,3,1,2,0,2,0,2,True,1.0
1,2020,4.8,Disability_Non-disable,0,113,113,3,1,2,0,0,45,62,-1,0,21,32,29,36,30,29,80,50,2,3,1,2,1,2,1,2,False,0.0
0,2018,5.4,Disability_Cognitive,1,95,95,1,1,0,0,0,30,47,1,0,18,20,24,19,21,26,37,26,2,2,1,2,1,2,1,2,True,1.0
0,2017,5.5,Disability_Cognitive,0,99,99,2,2,2,1,2,21,29,1,15,10,15,19,21,24,26,16,32,4,4,3,3,2,2,2,2,True,1.0
0,2021,5.1,Disability_Cognitive,0,117,108,2,1,1,1,2,38,48,-1,0,15,21,24,27,29,29,41,54,4,4,2,3,2,4,2,2,False,0.0
0,2020,5.3,Disability_Cognitive,1,114,114,2,1,2,2,2,21,46,-1,0,13,18,23,25,27,31,25,42,2,3,1,1,2,2,1,2,False,0.0
0,2020,5.8,Disability_Non-disable,0,109,109,2,1,2,0,1,27,34,1,0,16,20,24,26,23,30,37,36,3,3,1,2,1,2,1,2,False,0.0
0,2020,4.7,Disability_Non-disable,0,103,103,2,2,2,2,2,22,32,-2,2,12,13,22,19,22,30,19,39,2,2,1,2,1,4,0,2,True,1.0
1,2020,5.4,Disability_Non-disable,0,95,95,3,3,0,0,0,4,41,4,16,3,9,22,22,25,30,7,29,1,2,1,2,1,2,1,2,False,0.0
1,2017,5.2,Disability_Non-disable,0,97,97,2,1,2,2,2,28,36,1,3,13,13,19,14,20,31,43,38,2,4,1,1,2,3,2,2,False,0.0
0,2017,5.0,Disability_Non-disable,0,120,120,1,1,2,1,1,32,49,0,2,10,18,27,26,24,28,18,36,1,3,1,2,2,2,0,1,False,0.0
1,2018,5.4,Disability_Cognitive,0,95,95,3,3,2,1,0,9,28,3,15,1,17,17,18,17,20,24,10,1,2,1,1,2,1,2,1,True,1.0
0,2017,5.4,Disability_Non-disable,0,96,96,2,2,0,0,0,1,18,2,9,4,9,16,14,18,23,7,18,1,2,0,1,1,3,0,2,True,1.0
0,2018,5.8,Disability_Non-disable,0,95,95,3,2,2,2,1,10,23,6,13,5,14,22,19,24,24,25,27,1,3,0,1,1,1,0,2,False,1.0
0,2017,5.4,Disability_Non-disable,0,90,90,3,2,2,1,2,17,28,12,15,1,19,18,20,24,28,10,21,1,2,1,1,1,2,1,2,True,1.0
0,2018,5.6,Disability_Non-disable,0,89,89,4,3,1,1,0,22,44,0,0,12,15,24,22,23,26,13,20,1,1,0,1,1,1,0,2,False,0.0
1,2020,5.4,Disability_Non-disable,0,95,95,2,1,2,0,2,26,35,0,0,9,13,22,23,25,28,25,37,3,4,1,2,1,4,1,3,False,0.0
0,2021,6.0,Disability_Physical,0,117,108,3,3,2,1,2,27,41,0,-2,15,15,18,18,25,31,24,36,4,4,2,2,1,2,2,2,False,0.0
1,2021,5.2,Disability_SocialEmotional,0,96,95,3,3,2,2,1,1,22,0,11,1,10,13,13,17,24,4,4,1,2,0,1,0,1,1,2,True,1.0
1,2016,5.2,Disability_Non-disable,0,114,114,2,1,2,0,1,29,44,0,1,16,17,26,30,29,31,21,38,2,2,1,2,2,3,0,2,False,0.0
1,2020,4.7,Disability_Non-disable,0,104,104,2,1,2,2,1,52,68,0,1,11,16,20,28,31,28,19,43,2,3,1,2,0,3,0,2,False,0.0
0,2018,5.5,Disability_Cognitive,0,116,116,2,1,0,0,0,19,30,0,14,11,9,20,22,27,30,20,22,0,2,1,2,0,2,1,1,True,1.0
0,2020,5.6,Disability_Non-disable,0,114,114,2,1,2,1,2,36,57,0,-3,20,23,30,31,30,30,52,48,5,5,2,2,4,5,2,4,False,0.0
1,2018,5.2,Disability_Non-disable,0,95,95,1,1,2,2,2,23,28,0,1,15,16,21,22,26,27,32,30,3,3,1,2,2,2,0,2,False,0.0
1,2020,5.7,Disability_Non-disable,0,114,114,1,1,2,0,0,25,31,-2,2,13,19,26,28,31,30,23,39,1,2,1,2,1,2,0,2,False,0.0
1,2020,5.1,Disability_Non-disable,0,92,92,3,3,2,2,2,23,32,-2,-2,12,13,23,19,21,26,21,32,2,4,1,2,1,3,2,2,False,0.0
1,2017,4.9,Disability_Non-disable,0,95,95,3,1,2,2,1,16,29,1,0,6,15,18,19,20,23,19,26,1,3,1,1,1,1,2,1,False,1.0
1,2018,4.9,Disability_Non-disable,0,112,112,2,1,2,2,2,20,33,0,-1,13,15,21,25,27,31,22,22,0,3,1,1,0,4,1,3,False,0.0
1,2017,5.2,Disability_Non-disable,0,103,103,2,2,2,0,0,7,26,1,7,5,9,17,16,18,25,23,28,0,2,1,2,1,4,2,2,False,0.0
0,2020,5.3,Disability_Non-disable,0,108,108,2,2,2,1,0,19,31,5,13,12,14,24,24,25,26,20,32,2,4,1,2,1,4,1,2,True,1.0
1,2017,5.3,Disability_Non-disable,0,103,103,2,2,2,2,1,22,38,7,0,15,17,21,22,22,28,22,25,1,2,1,2,1,1,1,0,False,0.0
0,2020,5.7,Disability_Non-disable,0,109,109,2,1,2,1,1,25,41,0,14,12,16,26,23,31,32,21,37,1,3,1,1,2,2,2,2,False,0.0
1,2018,5.0,Disability_Non-disable,0,95,95,3,3,2,1,2,22,38,0,0,11,17,24,24,29,31,19,38,2,3,1,2,1,2,1,2,False,0.0
1,2018,5.6,Disability_Non-disable,0,102,102,3,3,2,2,2,27,36,0,1,14,18,22,24,27,29,49,34,2,4,1,2,2,3,2,1,False,0.0
0,2017,5.4,Disability_Cognitive,1,95,95,3,1,2,1,1,19,29,4,15,4,16,21,21,20,26,13,25,2,3,1,2,1,0,0,1,True,1.0
0,2017,5.0,Disability_Non-disable,0,95,95,2,1,2,0,0,13,26,1,-1,14,12,15,16,18,27,10,19,1,2,1,2,1,1,0,2,True,1.0
1,2020,4.9,Disability_Cognitive,0,109,109,1,1,2,1,1,4,27,6,13,13,12,14,12,13,18,7,14,2,2,1,1,1,1,1,1,True,1.0
1,2020,5.0,Disability_Non-disable,0,94,94,3,3,2,1,1,17,28,0,17,3,7,16,16,19,27,15,39,1,2,2,2,4,3,2,2,False,0.0
0,2018,5.0,Disability_Cognitive,0,110,110,1,1,1,0,0,22,30,0,-1,10,13,19,15,23,27,10,35,2,2,1,2,2,2,0,1,True,1.0
1,2016,5.5,Disability_Non-disable,0,101,101,2,1,2,0,1,26,42,0,-1,14,16,24,24,30,28,26,18,2,1,2,2,1,0,2,2,False,0.0
0,2020,5.8,Disability_Physical,0,105,105,2,1,2,1,0,28,45,0,3,21,21,24,28,29,31,34,50,2,5,1,2,3,4,2,2,True,1.0
1,2020,5.0,Disability_Non-disable,0,94,94,3,3,2,2,1,32,55,0,1,11,20,25,26,27,30,39,37,2,4,1,3,2,4,2,4,False,0.0
0,2021,5.3,Disability_Non-disable,0,95,93,1,1,0,0,0,41,54,-1,0,20,23,26,30,29,32,18,49,1,4,1,2,3,3,0,2,True,1.0
0,2016,5.3,Disability_Non-disable,0,114,114,3,3,2,0,0,12,32,3,15,7,9,22,21,23,31,13,11,3,4,2,3,3,4,4,2,False,0.0
1,2018,5.7,Disability_Non-disable,0,105,105,1,1,0,0,0,6,23,3,11,0,5,11,10,13,15,10,13,0,2,0,1,1,1,1,2,True,1.0
0,2021,5.7,Disability_Cognitive,0,91,89,1,1,0,0,0,26,46,0,-1,17,16,26,28,29,31,20,25,1,4,0,2,1,1,0,2,False,0.0
1,2020,4.9,Disability_Cognitive,1,99,99,1,1,1,0,1,27,45,9,0,9,13,20,20,23,27,22,14,2,2,1,2,1,2,1,1,False,0.0
1,2016,5.5,Disability_Non-disable,0,120,120,2,2,0,0,0,29,50,0,-1,15,19,21,23,29,26,64,33,3,4,1,2,3,2,1,2,True,1.0
0,2021,5.4,Disability_SocialEmotional,0,117,108,2,2,2,2,1,30,49,0,0,12,15,20,23,27,25,17,48,4,5,2,2,4,4,2,2,True,1.0
1,2016,5.7,Disability_Non-disable,0,114,114,2,2,2,0,1,19,28,0,0,11,12,25,19,25,29,36,24,2,3,1,1,1,2,1,2,False,0.0
0,2020,5.1,Disability_Non-disable,0,94,94,2,2,2,2,0,9,32,5,16,5,16,20,22,26,28,5,18,3,2,1,2,1,4,1,2,False,0.0
1,2016,5.4,Disability_Non-disable,0,101,101,2,2,1,0,0,8,22,4,10,3,6,13,14,16,15,18,26,2,1,1,1,1,1,0,0,False,0.0
1,2020,5.0,Disability_Non-disable,0,107,107,1,1,2,2,1,18,29,0,0,9,15,18,19,24,25,17,18,2,4,1,2,1,5,2,2,False,0.0
1,2020,5.7,Disability_Non-disable,0,109,109,3,3,2,1,2,40,70,2,-1,26,29,28,31,30,30,28,45,2,4,1,2,2,2,1,2,False,0.0
0,2018,4.9,Disability_Sensory,1,103,103,3,1,2,1,2,5,25,9,17,2,11,16,13,14,24,11,19,2,2,1,1,1,0,1,1,True,1.0
1,2020,5.0,Disability_Non-disable,0,114,114,3,2,2,2,2,48,64,0,0,31,30,31,31,33,31,67,45,4,5,2,2,2,4,1,2,False,0.0
1,2021,5.1,Disability_Non-disable,0,104,98,4,2,2,2,2,27,31,-1,3,14,14,26,20,23,25,28,28,2,2,1,2,2,2,2,2,False,0.0
0,2020,5.3,Disability_Non-disable,0,109,109,3,2,2,0,2,19,29,14,13,6,14,21,24,24,26,23,34,3,3,1,2,1,2,2,2,True,1.0
0,2016,5.7,Disability_Non-disable,0,102,102,2,2,2,1,1,27,40,-1,0,11,18,24,24,24,29,32,30,1,5,1,3,2,2,1,2,False,0.0
1,2018,4.8,Disability_Cognitive,1,110,110,3,2,2,2,1,15,26,5,11,2,8,20,19,24,26,12,19,1,2,1,2,0,2,0,2,False,0.0
1,2018,5.2,Disability_Cognitive,0,93,93,2,1,2,0,0,4,27,1,11,4,13,16,14,15,20,13,19,2,3,1,2,1,2,1,1,False,1.0
1,2017,5.4,Disability_Non-disable,0,98,98,2,2,2,1,1,24,29,2,0,14,18,23,24,27,28,37,39,1,2,1,2,1,1,2,0,False,0.0
0,2018,5.4,Disability_Cognitive,0,115,115,2,2,2,1,1,11,33,1,-2,12,13,20,19,24,28,18,28,2,4,2,2,2,4,2,2,False,0.0
0,2020,5.2,Disability_Non-disable,0,94,94,1,1,2,0,1,15,25,0,14,7,11,16,17,20,29,26,25,1,3,1,3,3,2,0,2,True,1.0
1,2016,5.1,Disability_Non-disable,0,103,103,3,1,2,2,2,12,29,8,17,6,8,17,17,20,23,13,31,2,2,0,1,1,2,0,2,True,1.0
0,2020,5.3,Disability_Non-disable,0,105,105,1,1,2,2,2,69,86,0,0,29,30,29,31,32,29,20,51,4,5,2,3,2,5,2,4,False,0.0
0,2018,5.0,Disability_Non-disable,0,95,95,2,1,2,1,2,13,32,10,15,9,11,23,19,19,28,17,14,0,2,1,1,0,1,1,2,True,1.0
0,2018,5.5,Disability_Non-disable,0,94,94,4,2,2,2,1,24,27,0,2,7,19,23,27,27,32,4,29,1,1,1,1,0,3,2,2,True,1.0
1,2017,5.2,Disability_Non-disable,0,95,95,4,1,2,1,1,30,41,1,1,9,15,18,18,23,25,18,34,1,2,1,1,1,1,1,2,True,1.0
1,2016,5.5,Disability_Non-disable,0,97,97,1,1,2,2,2,33,45,0,0,19,20,24,25,24,28,30,37,1,2,1,2,3,2,2,2,False,0.0
0,2018,5.7,Disability_Non-disable,0,114,114,2,2,0,0,0,47,77,0,2,24,26,30,31,29,30,22,35,5,5,1,4,3,5,2,4,False,0.0
1,2017,4.7,Disability_Non-disable,0,99,99,3,3,3,0,1,24,31,-1,13,10,13,19,22,26,31,20,29,2,3,1,2,1,1,1,2,False,0.0
0,2021,5.6,Disability_Cognitive,0,78,78,2,2,2,2,1,25,34,-1,0,15,13,20,19,23,23,22,35,1,3,1,1,1,1,0,1,True,1.0
1,2020,5.4,Disability_Non-disable,0,104,104,2,1,2,2,1,33,48,2,2,11,17,23,26,24,29,18,44,2,2,1,1,1,1,2,1,False,0.0
0,2016,5.9,Disability_Non-disable,0,104,104,3,1,2,2,0,52,66,2,0,12,18,23,25,28,29,28,37,3,5,1,4,4,4,0,2,True,1.0
1,2018,4.8,Disability_Non-disable,0,95,95,2,2,2,2,2,34,59,-1,2,16,18,26,24,29,29,44,40,3,4,2,2,2,2,2,2,False,0.0
0,2021,4.9,Disability_Non-disable,0,113,102,2,2,2,1,1,19,53,0,-3,7,18,24,20,24,28,27,38,2,4,1,2,2,2,2,2,False,0.0
1,2016,5.7,Disability_Non-disable,0,101,101,4,4,2,0,0,41,48,0,0,22,28,29,32,28,31,67,37,2,4,1,1,2,3,2,2,False,0.0
0,2017,5.4,Disability_Non-disable,0,101,101,2,1,2,1,1,29,54,0,-1,18,23,27,30,29,30,31,34,2,4,2,3,1,2,1,2,False,0.0
1,2021,5.4,Disability_Non-disable,0,116,104,2,2,2,0,1,23,40,1,0,15,10,18,24,24,25,11,40,0,3,1,2,1,1,1,0,True,1.0
1,2017,5.5,Disability_Non-disable,0,95,95,2,2,2,2,2,31,46,0,2,15,21,29,28,26,30,29,37,2,4,1,2,2,2,2,2,False,0.0
1,2018,5.9,Disability_Physical,0,97,97,1,1,2,1,0,6,28,4,14,8,10,15,17,21,25,10,23,1,2,1,1,0,2,0,1,True,1.0
0,2020,4.9,Disability_Cognitive,1,110,110,3,1,2,2,1,26,32,7,13,11,12,21,23,25,29,30,38,2,3,1,1,2,2,2,2,True,1.0
1,2016,4.9,Disability_Non-disable,0,101,101,1,1,0,0,0,14,35,6,11,8,17,22,25,23,5,13,34,0,2,1,1,0,0,0,0,False,0.0
0,2017,5.3,Disability_Cognitive,0,99,99,3,3,2,1,0,6,33,3,16,2,14,24,21,24,27,12,22,2,3,1,2,1,2,0,2,False,0.0
0,2017,5.2,Disability_Non-disable,0,100,100,5,5,2,0,0,26,33,0,0,13,14,24,22,23,26,37,34,0,2,1,2,1,2,2,2,True,1.0
1,2020,5.2,Disability_Non-disable,0,99,99,3,2,2,1,0,15,35,9,14,6,14,20,14,21,26,8,31,2,2,1,1,2,1,1,2,False,0.0
0,2020,5.3,Disability_Non-disable,0,115,115,1,1,2,2,1,16,39,1,0,12,14,22,22,25,29,28,40,1,4,1,2,2,4,2,2,False,0.0
0,2017,5.4,Disability_Non-disable,0,120,120,2,1,0,0,0,30,53,0,0,16,16,19,24,22,27,56,37,2,4,2,0,2,1,2,2,False,0.0
1,2020,5.1,Disability_Non-disable,0,109,109,3,3,2,0,0,23,33,0,-1,16,20,25,26,30,31,24,26,2,2,1,2,2,2,1,2,False,0.0
0,2018,5.0,Disability_Non-disable,0,97,97,3,3,2,2,1,23,38,0,0,9,12,17,18,22,26,23,21,2,2,1,1,2,2,2,2,True,0.0
1,2017,5.4,Disability_Non-disable,0,103,103,1,1,0,0,0,29,33,14,2,10,13,22,28,25,31,31,33,1,2,1,2,1,2,1,2,False,0.0
0,2018,5.4,Disability_Non-disable,0,95,95,2,1,2,1,2,47,60,0,0,25,25,31,30,31,29,50,33,4,5,2,2,5,5,2,4,False,0.0
0,2016,5.0,Disability_Non-disable,0,101,101,2,2,1,1,0,15,34,-2,15,9,10,16,20,18,24,16,29,2,3,1,1,2,1,0,1,False,0.0
0,2017,5.8,Disability_Cognitive,0,116,116,1,1,0,0,0,3,28,4,11,1,10,14,16,16,31,6,10,0,3,1,2,1,4,0,2,True,1.0
1,2020,4.8,Disability_Cognitive,1,114,114,2,2,0,0,0,13,29,10,0,11,13,19,27,26,30,13,28,1,2,0,1,0,2,0,2,False,0.0
1,2018,5.0,Disability_Non-disable,0,120,120,2,1,2,2,2,16,35,11,9,8,11,20,22,25,27,30,30,1,4,1,1,1,4,1,2,False,0.0
1,2021,5.6,Disability_Non-disable,0,114,102,3,3,2,0,0,11,29,1,-1,4,16,21,24,24,25,21,38,2,3,1,1,2,2,2,1,False,0.0
1,2017,5.5,Disability_Non-disable,0,97,97,3,3,1,0,0,26,37,1,2,8,11,17,17,19,24,13,26,2,4,1,1,1,1,2,1,False,0.0
0,2020,5.4,Disability_Cognitive,0,104,104,2,1,2,2,2,37,40,0,0,18,17,22,17,23,25,21,40,1,2,1,2,1,2,1,2,False,0.0
1,2017,5.0,Disability_Non-disable,0,97,97,2,1,0,0,0,23,32,0,11,6,9,17,17,23,27,12,23,2,3,1,2,0,2,0,2,False,0.0
0,2020,5.3,Disability_Non-disable,0,105,105,1,1,0,0,0,30,36,0,3,13,21,25,26,26,29,11,42,2,2,0,1,1,2,1,1,False,0.0
1,2018,4.9,Disability_Non-disable,0,103,103,2,1,2,2,2,26,41,0,1,15,19,21,23,24,32,32,35,2,4,0,2,2,4,1,2,False,0.0
1,2018,4.9,Disability_Non-disable,0,95,95,1,1,2,2,2,30,43,0,2,16,21,21,20,20,25,19,33,1,3,1,2,0,2,1,1,False,0.0
1,2021,4.8,Disability_Cognitive,0,114,102,1,1,1,1,1,22,44,-1,-1,10,16,23,31,29,30,26,32,2,2,1,2,2,2,0,2,False,0.0
1,2020,5.2,Disability_Non-disable,0,94,94,2,1,0,2,0,38,58,0,0,10,16,29,23,22,25,14,41,2,2,1,1,1,1,0,0,False,0.0
1,2020,4.9,Disability_Non-disable,0,109,109,3,3,0,2,1,30,46,0,2,21,22,25,29,29,30,27,40,2,2,1,1,1,2,0,1,False,0.0
1,2017,4.9,Disability_SocialEmotional,0,120,116,2,2,1,1,1,13,29,7,13,7,10,16,19,20,29,25,28,2,4,1,2,2,0,2,2,False,0.0
0,2020,5.4,Disability_Non-disable,0,95,95,2,2,2,2,1,32,45,-1,3,16,15,21,23,30,32,16,43,1,3,1,2,1,3,0,1,False,0.0
1,2021,5.4,Disability_Cognitive,0,104,98,3,2,2,2,0,14,27,4,13,0,9,17,15,17,18,22,38,2,2,1,1,2,3,2,2,False,0.0
1,2018,5.2,Disability_Non-disable,0,95,95,4,3,2,1,1,11,30,4,2,7,13,20,22,28,30,13,24,2,3,1,2,2,2,1,2,False,0.0
0,2020,5.5,Disability_Cognitive,0,112,112,2,2,2,1,1,34,63,0,-4,13,14,20,23,26,28,8,46,2,2,1,2,2,2,1,2,True,1.0
0,2020,5.3,Disability_Non-disable,0,94,94,2,2,2,2,1,23,42,11,2,4,11,23,27,26,28,23,36,2,2,1,2,1,4,1,2,False,0.0
1,2018,5.4,Disability_Cognitive,0,101,101,3,1,1,1,0,1,16,2,2,1,7,10,9,19,19,0,11,0,3,0,1,0,2,0,2,True,1.0
0,2016,5.7,Disability_Non-disable,0,114,114,2,2,2,2,2,30,44,-1,-2,13,15,25,25,29,31,21,32,2,4,1,2,0,1,0,2,False,0.0
0,2021,5.2,Disability_Cognitive,0,114,102,3,3,2,2,2,21,30,0,0,10,13,17,20,23,26,20,29,1,2,1,2,0,1,0,2,True,1.0
1,2021,5.0,Disability_Non-disable,0,94,91,1,1,2,2,2,54,63,2,-3,27,29,30,27,30,30,28,43,3,5,2,2,4,5,2,3,False,0.0
0,2018,4.9,Disability_Cognitive,1,109,109,2,2,2,1,0,19,30,13,16,10,17,20,22,21,30,26,26,1,2,1,1,1,1,2,2,False,0.0
0,2016,5.6,Disability_Non-disable,0,101,101,2,1,2,2,1,29,70,0,1,15,13,26,31,31,30,39,36,4,4,2,2,1,5,0,3,False,0.0
0,2020,5.4,Disability_Cognitive,0,97,97,2,1,2,0,0,10,29,-1,12,5,11,17,21,22,24,13,35,4,4,1,1,2,3,2,2,False,1.0
